shipment_id,date,route,region,delivery_type,weight_kg,volume_m3,status
GF0022361,2023-12-20,Sharjah-Fujairah,Northern Emirates,Standard,0.5,0.1033,Completed
GF0018895,2023-11-09,Dubai-Riyadh,KSA,Express,2.78,0.0276,Completed
GF0020232,2023-11-24,Dubai-Sharjah,Sharjah,Standard,13.83,0.02,Completed
GF0006998,2023-03-29,Abu Dhabi-Muscat,Oman,Standard,14.41,0.0266,Completed
GF0008477,2023-04-25,Dubai-Riyadh,KSA,Same-Day,2.11,0.0107,Completed
GF0001003,2023-01-02,Sharjah-Fujairah,Northern Emirates,Standard,3.58,0.01,Completed
GF0002632,2023-01-24,Dubai-Riyadh,KSA,Same-Day,2.52,0.01,Completed
GF0016550,2023-10-06,Dubai-Riyadh,KSA,Standard,15.65,0.0153,Completed
GF0019837,2023-11-20,Abu Dhabi-Al Ain,Abu Dhabi,Standard,582.081503879867,0.0138,Completed
GF0004393,2023-02-17,Dubai-Riyadh,KSA,Standard,8.62,0.0276,Completed
GF0027331,2024-02-22,Dubai-Abu Dhabi,Abu Dhabi,Express,1.05,0.0395,Completed
GF0001466,2023-01-06,Dubai-Abu Dhabi,Abu Dhabi,Express,4.44,0.0362,Completed
GF0028986,2024-03-20,Dubai-Riyadh,KSA,Express,8.66,0.01,Completed
GF0021097,2023-12-06,Sharjah-Fujairah,Northern Emirates,Express,4.69,0.01,Completed
GF0019868,2023-11-20,Abu Dhabi-Al Ain,Abu Dhabi,Express,0.5,0.0151,Completed
GF0011783,2023-07-11,Dubai-RAK,Northern Emirates,Same-Day,0.69,0.0183,Completed
GF0017466,2023-10-19,Abu Dhabi-Muscat,Oman,Standard,10.33,0.04,Completed
GF0001429,2023-01-06,Dubai-Sharjah,Sharjah,Express,9.85,0.01,Completed
GF0005338,2023-03-03,Dubai-Riyadh,KSA,Standard,8.24,0.0375,Completed
GF0028325,2024-03-08,Dubai-Abu Dhabi,Abu Dhabi,Express,15.65,0.01,Completed
GF0005418,2023-03-05,Dubai-Sharjah,Unknown,Standard,1.36,0.035,Completed
GF0016241,2023-10-03,Dubai-Abu Dhabi,Abu Dhabi,Standard,4.39,0.0131,Completed
GF0018720,2023-11-07,Abu Dhabi-Al Ain,Abu Dhabi,Standard,26.36,0.0179,Completed
GF0019391,2023-11-14,Abu Dhabi-Al Ain,Abu Dhabi,Standard,9.34,0.0398,Completed
GF0022096,2023-12-18,Dubai-RAK,Northern Emirates,Express,13.8,0.0184,Completed
GF0012816,2023-08-03,Dubai-Riyadh,KSA,Standard,6.19,0.0275,Completed
GF0029757,2024-04-01,Dubai-Abu Dhabi,Abu Dhabi,Express,11.73,0.0127,Completed
GF0018523,2023-11-03,Dubai-RAK,Northern Emirates,Same-Day,5.33,0.0228,Completed
GF0023459,2024-01-03,Dubai-Abu Dhabi,Abu Dhabi,Express,3.52,0.01,Completed
GF0019567,2023-11-15,Dubai-RAK,Northern Emirates,Standard,8.9,0.085,Completed
GF0028541,2024-03-13,Abu Dhabi-Muscat,Oman,Standard,2.33,0.0118,Completed
GF0019106,2023-11-10,Sharjah-Fujairah,Northern Emirates,Standard,38.57,0.0628,Completed
GF0018838,2023-11-08,Dubai-Riyadh,KSA,Express,3.76,0.0156,Completed
GF0032405,2024-05-28,Dubai-Riyadh,KSA,Standard,0.65,0.0114,Completed
GF0012512,2023-07-28,Abu Dhabi-Muscat,Oman,Standard,5.5,0.0416,Completed
GF0019685,2023-11-16,Abu Dhabi-Al Ain,Abu Dhabi,Standard,3.9,0.01,Completed
GF0013904,2023-08-24,Abu Dhabi-Muscat,Oman,Standard,5.55,0.1067,Completed
GF0005692,2023-03-09,Dubai-Riyadh,KSA,Standard,1.25,0.0721,Completed
GF0011152,2023-06-22,Dubai-Sharjah,Sharjah,Standard,9.41,0.1,Completed
GF0031886,2024-05-16,Dubai-Abu Dhabi,Abu Dhabi,Standard,4.82,0.01,Completed
GF0026528,2024-02-12,Sharjah-Fujairah,Northern Emirates,Standard,11.81,0.0281,Completed
GF0017902,2023-10-26,Abu Dhabi-Muscat,Oman,Standard,1.24,0.0439,Completed
GF0026191,2024-02-07,Dubai-Abu Dhabi,Abu Dhabi,Express,19.7,0.01,Completed
GF0021945,2023-12-15,Abu Dhabi-Muscat,Oman,Standard,7.22,0.0171,Completed
GF0022339,2023-12-20,Sharjah-Fujairah,Northern Emirates,Same-Day,9.01,0.01,Completed
GF0012782,2023-08-03,Dubai-Riyadh,KSA,Express,3.87,0.0229,Completed
GF0023754,2024-01-07,Dubai-Riyadh,KSA,Standard,6.12,0.0276,Completed
GF0003598,2023-02-06,Dubai-Sharjah,Sharjah,Same-Day,1.14,0.01,Completed
GF0033347,2024-06-19,Abu Dhabi-Al Ain,Abu Dhabi,Standard,5.03,0.0908,Completed
GF0031403,2024-05-06,Sharjah-Fujairah,Northern Emirates,Express,3.94,0.0904,Completed
GF0013124,2023-08-09,Dubai-Riyadh,KSA,Express,19.79,0.01,Completed
GF0011115,2023-06-22,Dubai-Abu Dhabi,Abu Dhabi,Standard,9.28,0.0502,Completed
GF0017324,2023-10-18,Abu Dhabi-Al Ain,Abu Dhabi,Standard,4.4,0.0235,Completed
GF0004693,2023-02-22,Abu Dhabi-Muscat,Oman,Standard,20.35,0.033,Completed
GF0012206,2023-07-20,Dubai-RAK,Northern Emirates,Express,5.45,0.01,Completed
GF0031096,2024-04-30,Sharjah-Fujairah,Northern Emirates,Express,14.19,0.0168,Completed
GF0033724,2024-06-28,Dubai-Sharjah,Sharjah,Standard,13.23,0.0155,Completed
GF0026935,2024-02-16,Dubai-Abu Dhabi,Abu Dhabi,Standard,6.69,0.0605,Completed
GF0008337,2023-04-23,Abu Dhabi-Muscat,Oman,Express,1.54,0.0593,Completed
GF0011925,2023-07-13,Abu Dhabi-Muscat,Oman,Standard,1.77,0.0421,Completed
GF0007880,2023-04-13,Dubai-RAK,Northern Emirates,Standard,18.47,0.01,Completed
GF0025505,2024-01-29,Dubai-Sharjah,Sharjah,Express,6.81,0.0185,Completed
GF0030777,2024-04-23,Sharjah-Fujairah,Northern Emirates,Standard,29.66,0.01,Completed
GF0010284,2023-06-03,Abu Dhabi-Al Ain,Abu Dhabi,Express,4.4,0.0869,Completed
GF0008821,2023-05-02,Abu Dhabi-Al Ain,Abu Dhabi,Standard,3.06,0.01,Completed
GF0005610,2023-03-08,Dubai-Sharjah,Sharjah,Same-Day,3.78,0.01,Completed
GF0022495,2023-12-21,Dubai-Abu Dhabi,Abu Dhabi,Express,8.75,0.01,Completed
GF0026641,2024-02-13,Sharjah-Fujairah,Northern Emirates,Express,1.26,0.0774,Completed
GF0024841,2024-01-20,Sharjah-Fujairah,Northern Emirates,Same-Day,0.71,0.01,Completed
GF0012243,2023-07-21,Abu Dhabi-Muscat,Oman,Express,4.82,0.0281,Completed
GF0024228,2024-01-12,Dubai-Sharjah,Sharjah,Standard,16.01,0.083,Completed
GF0019595,2023-11-16,Dubai-Riyadh,KSA,Standard,1.73,0.0323,Completed
GF0022258,2023-12-19,Dubai-Abu Dhabi,Abu Dhabi,Standard,7.96,0.102,Completed
GF0004784,2023-02-22,Abu Dhabi-Al Ain,Abu Dhabi,Express,3.87,0.1067,Completed
GF0014466,2023-09-05,Abu Dhabi-Al Ain,Abu Dhabi,Standard,19.28,0.0384,Completed
GF0022403,2023-12-20,Abu Dhabi-Al Ain,Abu Dhabi,Standard,5.26,0.0112,Completed
GF0003766,2023-02-08,Dubai-Sharjah,Sharjah,Express,10.17,0.01,Completed
GF0027470,2024-02-26,Dubai-Abu Dhabi,Abu Dhabi,Express,3.77,0.01,Completed
GF0030104,2024-04-05,Dubai-RAK,Northern Emirates,Express,0.88,0.01,Completed
GF0024601,2024-01-17,Sharjah-Fujairah,Northern Emirates,Standard,2.25,0.0315,Completed
GF0003909,2023-02-10,Dubai-RAK,Northern Emirates,Standard,6.1,0.01,Completed
GF0026409,2024-02-09,Abu Dhabi-Al Ain,Abu Dhabi,Standard,1.13,0.0402,Completed
GF0012253,2023-07-21,Sharjah-Fujairah,Northern Emirates,Same-Day,0.5,0.01,Completed
GF0008428,2023-04-25,Abu Dhabi-Muscat,Oman,Express,0.66,0.01,Completed
GF0025384,2024-01-26,Dubai-Abu Dhabi,Abu Dhabi,Standard,16.3,0.0757,Completed
GF0010682,2023-06-13,Dubai-Abu Dhabi,Abu Dhabi,Standard,2.48,0.076,Completed
GF0010253,2023-06-02,Dubai-RAK,Northern Emirates,Standard,17.43,0.0165,Completed
GF0015399,2023-09-19,Abu Dhabi-Al Ain,Abu Dhabi,Express,0.69,0.01,Completed
GF0030242,2024-04-12,Dubai-Riyadh,KSA,Standard,9.12,0.0952,Completed
GF0031199,2024-05-01,Abu Dhabi-Muscat,Oman,Standard,2.84,0.1013,Completed
GF0033315,2024-06-19,Abu Dhabi-Al Ain,Abu Dhabi,Express,1.21,0.01,Completed
GF0009721,2023-05-23,Dubai-Sharjah,Sharjah,Express,2.39,0.0448,Completed
GF0002350,2023-01-19,Dubai-Sharjah,Sharjah,Express,0.9,0.0237,Completed
GF0004371,2023-02-16,Sharjah-Fujairah,Northern Emirates,Same-Day,1.11,0.01,Completed
GF0012225,2023-07-21,Dubai-Sharjah,Sharjah,Standard,1.16,0.0206,Completed
GF0027468,2024-02-26,Dubai-Sharjah,Sharjah,Express,3.8,0.01,Completed
GF0016820,2023-10-11,Abu Dhabi-Muscat,Oman,Standard,349.55887242701806,0.0151,Completed
GF0022682,2023-12-23,Sharjah-Fujairah,Northern Emirates,Express,0.74,0.01,Completed
GF0009676,2023-05-22,Abu Dhabi-Muscat,Oman,Standard,0.5,0.0649,Completed
GF0016546,2023-10-06,Abu Dhabi-Al Ain,Abu Dhabi,Express,8.88,0.01,Completed
GF0018526,2023-11-03,Abu Dhabi-Muscat,Oman,Standard,0.77,0.1061,Completed
GF0020443,2023-11-27,Dubai-Sharjah,Sharjah,Express,1.91,0.01,Completed
GF0014583,2023-09-06,Abu Dhabi-Al Ain,Abu Dhabi,Express,0.5,0.0527,Completed
GF0016915,2023-10-12,Abu Dhabi-Muscat,Oman,Standard,0.85,0.0396,Completed
GF0014735,2023-09-08,Abu Dhabi-Al Ain,Abu Dhabi,Standard,0.5,0.0286,Completed
GF0011949,2023-07-13,Abu Dhabi-Al Ain,Abu Dhabi,Express,0.5,0.01,Completed
GF0033158,2024-06-13,Abu Dhabi-Al Ain,Abu Dhabi,Standard,3.87,0.0281,Completed
GF0013527,2023-08-17,Dubai-Riyadh,KSA,Standard,22.73,0.059,Completed
GF0002879,2023-01-26,Abu Dhabi-Muscat,Oman,Standard,1.15,0.01,Completed
GF0021741,2023-12-13,Sharjah-Fujairah,Northern Emirates,Express,2.03,0.01,Completed
GF0014474,2023-09-05,Abu Dhabi-Al Ain,Abu Dhabi,Express,7.33,0.0301,Completed
GF0021087,2023-12-06,Dubai-Abu Dhabi,Abu Dhabi,Express,1.41,0.0769,Completed
GF0005558,2023-03-07,Abu Dhabi-Muscat,Oman,Standard,1.71,0.0838,Completed
GF0027058,2024-02-19,Dubai-Riyadh,KSA,Express,0.62,0.0211,Completed
GF0016076,2023-10-02,Dubai-Riyadh,KSA,Express,8.95,0.0725,Completed
GF0003206,2023-01-31,Dubai-Abu Dhabi,Abu Dhabi,Express,0.9,0.0109,Completed
GF0022053,2023-12-18,Dubai-Sharjah,Sharjah,Same-Day,9.75,0.0163,Completed
GF0009309,2023-05-12,Dubai-RAK,Northern Emirates,Standard,8.17,0.062,Completed
GF0011643,2023-07-06,Sharjah-Fujairah,Northern Emirates,Standard,11.45,0.0769,Completed
GF0018089,2023-10-30,Abu Dhabi-Al Ain,Abu Dhabi,Standard,5.68,0.0103,Completed
GF0015765,2023-09-26,Abu Dhabi-Al Ain,Abu Dhabi,Same-Day,3.72,0.01,Completed
GF0029787,2024-04-01,Dubai-Abu Dhabi,Abu Dhabi,Standard,3.14,0.0265,Completed
GF0006123,2023-03-15,Dubai-Sharjah,Sharjah,Standard,2.98,0.0219,Completed
GF0003220,2023-01-31,Abu Dhabi-Muscat,Oman,Express,5.16,0.01,Completed
GF0023237,2023-12-30,Dubai-Sharjah,Sharjah,Standard,1.02,0.01,Completed
GF0011228,2023-06-23,Abu Dhabi-Al Ain,Abu Dhabi,Standard,1.42,0.0138,Completed
GF0013558,2023-08-17,Dubai-Sharjah,Sharjah,Standard,14.78,0.0193,Completed
GF0033572,2024-06-25,Sharjah-Fujairah,Northern Emirates,Standard,2.47,0.0413,Completed
GF0001322,2023-01-05,Abu Dhabi-Al Ain,Abu Dhabi,Express,0.5,0.0495,Completed
GF0024890,2024-01-22,Abu Dhabi-Muscat,Oman,Express,4.7,0.0218,Completed
GF0010441,2023-06-07,Abu Dhabi-Muscat,Oman,Standard,2.04,0.0374,Completed
GF0019997,2023-11-21,Abu Dhabi-Muscat,Oman,Express,0.5,0.0608,Completed
GF0027566,2024-02-27,Sharjah-Fujairah,Northern Emirates,Standard,8.51,0.0239,Completed
GF0011859,2023-07-12,Sharjah-Fujairah,Northern Emirates,Express,3.12,0.021,Completed
GF0023627,2024-01-05,Dubai-Abu Dhabi,Abu Dhabi,Standard,0.5,0.01,Completed
GF0026932,2024-02-16,Sharjah-Fujairah,Northern Emirates,Standard,6.22,0.0797,Completed
GF0005374,2023-03-03,Abu Dhabi-Muscat,Oman,Standard,0.58,0.0701,Completed
GF0009561,2023-05-18,Sharjah-Fujairah,Northern Emirates,Standard,7.68,0.042,Completed
GF0011917,2023-07-13,Dubai-Abu Dhabi,Abu Dhabi,Standard,0.72,0.0476,Completed
GF0024572,2024-01-17,Dubai-Sharjah,Sharjah,Express,4.14,0.0472,Completed
GF0011296,2023-06-27,Dubai-Riyadh,KSA,Standard,2.18,0.0476,Completed
GF0023659,2024-01-05,Abu Dhabi-Al Ain,Abu Dhabi,Standard,23.73,0.01,Completed
GF0025076,2024-01-24,Abu Dhabi-Muscat,Oman,Express,11.32,0.01,Completed
GF0018984,2023-11-10,Abu Dhabi-Al Ain,Abu Dhabi,Express,15.13,0.0201,Completed
GF0017349,2023-10-18,Abu Dhabi-Muscat,Oman,Standard,6.65,0.0604,Completed
GF0027844,2024-03-01,Abu Dhabi-Al Ain,Abu Dhabi,Express,6.56,0.0314,Completed
GF0003075,2023-01-30,Dubai-Sharjah,Sharjah,Express,2.37,0.0178,Completed
GF0016993,2023-10-13,Dubai-Abu Dhabi,Abu Dhabi,Standard,3.61,0.0538,Completed
GF0015297,2023-09-18,Abu Dhabi-Muscat,Oman,Standard,4.27,0.0963,Completed
GF0020985,2023-12-05,Dubai-RAK,Northern Emirates,Express,3.74,0.01,Completed
GF0006963,2023-03-28,Dubai-Riyadh,KSA,Standard,7.66,0.016,Completed
GF0011130,2023-06-22,Sharjah-Fujairah,Northern Emirates,Express,2.95,0.0214,Completed
GF0004533,2023-02-20,Dubai-RAK,Northern Emirates,Standard,0.5,0.0467,Completed
GF0015006,2023-09-13,Dubai-Abu Dhabi,Abu Dhabi,Standard,4.4,0.0222,Completed
GF0013738,2023-08-22,Dubai-Sharjah,Sharjah,Standard,7.18,0.049,Completed
GF0029809,2024-04-02,Dubai-Abu Dhabi,Abu Dhabi,Standard,2.54,0.01,Completed
GF0021557,2023-12-12,Sharjah-Fujairah,Northern Emirates,Standard,10.65,0.01,Completed
GF0011045,2023-06-21,Dubai-Abu Dhabi,Abu Dhabi,Express,1.01,0.0967,Completed
GF0001115,2023-01-03,Sharjah-Fujairah,Northern Emirates,Standard,14.75,0.0521,Completed
GF0010747,2023-06-14,Sharjah-Fujairah,Northern Emirates,Standard,4.2,0.018,Completed
GF0025312,2024-01-26,Dubai-RAK,Northern Emirates,Express,7.8,0.01,Completed
GF0024168,2024-01-12,Dubai-Riyadh,KSA,Express,1.41,0.018,Completed
GF0025425,2024-01-28,Dubai-RAK,Northern Emirates,Same-Day,1.85,0.01,Completed
GF0014868,2023-09-12,Abu Dhabi-Muscat,Oman,Express,2.12,0.01,Completed
GF0014372,2023-09-03,Dubai-RAK,Northern Emirates,Standard,11.37,0.0327,Completed
GF0001054,2023-01-02,Abu Dhabi-Al Ain,Abu Dhabi,Express,3.71,0.0714,Completed
GF0009421,2023-05-16,Dubai-Sharjah,Sharjah,Standard,18.04,0.0291,Completed
GF0023217,2023-12-29,Dubai-RAK,Northern Emirates,Express,1.21,0.01,Completed
GF0002554,2023-01-23,Abu Dhabi-Al Ain,Abu Dhabi,Standard,2.31,0.0428,Completed
GF0020186,2023-11-23,Dubai-Sharjah,Sharjah,Standard,3.08,0.0903,Completed
GF0019319,2023-11-13,Dubai-Sharjah,Sharjah,Standard,7.77,0.0322,Completed
GF0019669,2023-11-16,Sharjah-Fujairah,Northern Emirates,Express,6.81,0.0517,Completed
GF0001088,2023-01-02,Dubai-Abu Dhabi,Abu Dhabi,Standard,1.2,0.01,Completed
GF0009870,2023-05-25,Dubai-Riyadh,KSA,Standard,3.69,0.0499,Completed
GF0023525,2024-01-04,Dubai-RAK,Northern Emirates,Express,1.23,0.0569,Completed
GF0011772,2023-07-11,Sharjah-Fujairah,Northern Emirates,Standard,5.11,0.0102,Completed
GF0024457,2024-01-16,Dubai-RAK,Northern Emirates,Express,0.5,0.0107,Completed
GF0002083,2023-01-16,Abu Dhabi-Al Ain,Abu Dhabi,Express,0.5,0.0195,Completed
GF0010485,2023-06-08,Dubai-RAK,Northern Emirates,Standard,1.38,0.0199,Completed
GF0024381,2024-01-15,Dubai-Riyadh,KSA,Standard,4.63,0.0312,Completed
GF0020633,2023-11-29,Dubai-Abu Dhabi,Abu Dhabi,Standard,0.5,0.0973,Completed
GF0020419,2023-11-27,Dubai-Riyadh,KSA,Standard,15.87,0.01,Completed
GF0008172,2023-04-18,Sharjah-Fujairah,Northern Emirates,Standard,5.18,0.0581,Completed
GF0013184,2023-08-10,Abu Dhabi-Al Ain,Abu Dhabi,Express,1.5,0.0271,Completed
GF0024586,2024-01-17,Dubai-Abu Dhabi,Abu Dhabi,Standard,1.3,0.0481,Completed
GF0033404,2024-06-20,Dubai-Riyadh,KSA,Standard,3.29,0.0611,Completed
GF0005397,2023-03-04,Abu Dhabi-Al Ain,Abu Dhabi,Express,0.5,0.1037,Completed
GF0012478,2023-07-27,Dubai-RAK,Northern Emirates,Same-Day,1.71,0.012,Completed
GF0016981,2023-10-13,Dubai-Sharjah,Sharjah,Express,0.92,0.01,Completed
GF0028936,2024-03-20,Dubai-Abu Dhabi,Abu Dhabi,Express,2.17,0.0716,Completed
GF0032303,2024-05-24,Dubai-Abu Dhabi,Abu Dhabi,Standard,23.44,0.0272,Completed
GF0020822,2023-12-01,Abu Dhabi-Al Ain,Abu Dhabi,Express,1.67,0.0218,Completed
GF0003984,2023-02-11,Dubai-Abu Dhabi,Abu Dhabi,Standard,3.21,0.01,Completed
GF0009739,2023-05-23,Dubai-Riyadh,KSA,Standard,3.93,0.0648,Completed
GF0008168,2023-04-18,Dubai-Riyadh,KSA,Express,2.15,0.0467,Completed
GF0024060,2024-01-10,Dubai-RAK,Northern Emirates,Express,5.18,0.0174,Completed
GF0020772,2023-12-01,Dubai-Abu Dhabi,Abu Dhabi,Express,0.5,0.0744,Completed
GF0001945,2023-01-13,Sharjah-Fujairah,Northern Emirates,Same-Day,0.95,0.01,Completed
GF0021886,2023-12-15,Dubai-Riyadh,KSA,Same-Day,0.58,0.01,Completed
GF0033339,2024-06-19,Abu Dhabi-Al Ain,Abu Dhabi,Same-Day,1.38,0.01,Completed
GF0004352,2023-02-16,Abu Dhabi-Muscat,Oman,Express,2.18,0.039,Completed
GF0021154,2023-12-06,Dubai-Riyadh,KSA,Express,7.27,0.0359,Completed
GF0029249,2024-03-22,Dubai-Riyadh,KSA,Same-Day,2.65,0.0407,Completed
GF0020537,2023-11-28,Dubai-RAK,Northern Emirates,Same-Day,0.61,0.0248,Completed
GF0027592,2024-02-27,Abu Dhabi-Muscat,Oman,Same-Day,0.5,0.0234,Completed
GF0005051,2023-02-27,Dubai-Sharjah,Sharjah,Express,1.35,0.0154,Completed
GF0014595,2023-09-06,Abu Dhabi-Al Ain,Abu Dhabi,Express,2.6,0.01,Completed
GF0033298,2024-06-19,Abu Dhabi-Al Ain,Abu Dhabi,Express,6.94,0.0407,Completed
GF0012177,2023-07-20,Dubai-Sharjah,Sharjah,Express,1.41,0.0276,Completed
GF0010276,2023-06-02,Abu Dhabi-Muscat,Oman,Standard,0.89,0.01,Completed
GF0020998,2023-12-05,Dubai-Riyadh,KSA,Standard,15.41,0.0852,Completed
GF0027424,2024-02-23,Dubai-Riyadh,KSA,Express,6.67,0.01,Completed
GF0015055,2023-09-14,Abu Dhabi-Al Ain,Abu Dhabi,Express,2.73,0.0384,Completed
GF0002498,2023-01-20,Dubai-Sharjah,Sharjah,Express,0.97,0.0296,Completed
GF0011056,2023-06-21,Dubai-RAK,Northern Emirates,Same-Day,0.59,0.012,Completed
GF0023631,2024-01-05,Abu Dhabi-Muscat,Oman,Same-Day,0.89,0.01,Completed
GF0010626,2023-06-12,Sharjah-Fujairah,Northern Emirates,Same-Day,2.19,0.01,Completed
GF0010532,2023-06-08,Dubai-Riyadh,KSA,Same-Day,1.83,0.019,Completed
GF0007714,2023-04-10,Dubai-Abu Dhabi,Abu Dhabi,Standard,5.77,0.01,Completed
GF0008053,2023-04-17,Dubai-Abu Dhabi,Abu Dhabi,Standard,16.21,0.0452,Completed
GF0026073,2024-02-06,Dubai-RAK,Northern Emirates,Express,3.87,0.0527,Completed
GF0024343,2024-01-15,Dubai-RAK,Northern Emirates,Standard,4.22,0.012,Completed
GF0003692,2023-02-07,Sharjah-Fujairah,Northern Emirates,Express,5.31,0.0109,Completed
GF0026524,2024-02-12,Dubai-Riyadh,KSA,Standard,13.01,0.0407,Completed
GF0004296,2023-02-16,Dubai-Sharjah,Sharjah,Standard,4.92,0.0162,Completed
GF0019010,2023-11-10,Abu Dhabi-Al Ain,Abu Dhabi,Same-Day,7.74,0.0152,Completed
GF0020861,2023-12-03,Abu Dhabi-Al Ain,Abu Dhabi,Express,26.78,0.049,Completed
GF0008613,2023-04-27,Abu Dhabi-Al Ain,Abu Dhabi,Express,4.74,0.0912,Completed
GF0026057,2024-02-06,Dubai-Abu Dhabi,Abu Dhabi,Express,0.5,0.01,Completed
GF0026011,2024-02-05,Abu Dhabi-Al Ain,Abu Dhabi,Same-Day,2.84,0.0414,Completed
GF0008202,2023-04-19,Dubai-Sharjah,Sharjah,Standard,7.5,0.077,Completed
GF0013637,2023-08-18,Dubai-Riyadh,KSA,Same-Day,0.98,0.01,Completed
GF0015623,2023-09-22,Abu Dhabi-Al Ain,Abu Dhabi,Express,1.94,0.01,Completed
GF0029808,2024-04-02,Dubai-Sharjah,Sharjah,Express,8.19,0.0589,Completed
GF0032538,2024-05-30,Dubai-Riyadh,KSA,Express,3.6,0.01,Completed
GF0029155,2024-03-21,Dubai-Sharjah,Sharjah,Same-Day,0.73,0.01,Completed
GF0028900,2024-03-19,Abu Dhabi-Al Ain,Abu Dhabi,Standard,1.26,0.0184,Completed
GF0011495,2023-07-04,Dubai-Sharjah,Sharjah,Standard,27.21,0.0748,Completed
GF0022135,2023-12-18,Sharjah-Fujairah,Northern Emirates,Express,4.1,0.01,Completed
GF0026082,2024-02-06,Abu Dhabi-Muscat,Oman,Standard,2.16,0.0884,Completed
GF0002687,2023-01-24,Dubai-Abu Dhabi,Abu Dhabi,Express,4.57,0.0634,Completed
GF0002355,2023-01-19,Abu Dhabi-Muscat,Oman,Standard,0.95,0.0507,Completed
GF0018599,2023-11-06,Dubai-Abu Dhabi,Abu Dhabi,Express,0.5,0.01,Completed
GF0006761,2023-03-24,Dubai-Abu Dhabi,Abu Dhabi,Express,5.65,0.01,Completed
GF0009768,2023-05-23,Sharjah-Fujairah,Northern Emirates,Express,2.79,0.0777,Completed
GF0032150,2024-05-22,Dubai-Riyadh,KSA,Standard,6.04,0.0281,Completed
GF0004529,2023-02-20,Abu Dhabi-Al Ain,Abu Dhabi,Express,3.94,0.0476,Completed
GF0028930,2024-03-20,Dubai-Riyadh,KSA,Express,1.04,0.0133,Completed
GF0020271,2023-11-24,Dubai-RAK,Northern Emirates,Standard,9.93,0.0244,Completed
GF0022034,2023-12-18,Dubai-Riyadh,KSA,Express,4.76,0.01,Completed
GF0028669,2024-03-15,Dubai-Riyadh,KSA,Express,0.5,0.0169,Completed
GF0031726,2024-05-14,Abu Dhabi-Al Ain,Abu Dhabi,Express,1.19,0.01,Completed
GF0003026,2023-01-28,Abu Dhabi-Muscat,Oman,Express,1.97,0.01,Completed
GF0002527,2023-01-23,Sharjah-Fujairah,Northern Emirates,Same-Day,2.34,0.0199,Completed
GF0033502,2024-06-24,Sharjah-Fujairah,Northern Emirates,Same-Day,4.5,0.034,Completed
GF0021345,2023-12-08,Abu Dhabi-Al Ain,Abu Dhabi,Standard,3.92,0.0578,Completed
GF0009616,2023-05-19,Dubai-Riyadh,KSA,Standard,8.77,0.0191,Completed
GF0015652,2023-09-22,Abu Dhabi-Muscat,Oman,Same-Day,1.43,0.0273,Completed
GF0009299,2023-05-12,Dubai-Riyadh,KSA,Standard,11.26,0.01,Completed
GF0012508,2023-07-28,Sharjah-Fujairah,Northern Emirates,Standard,3.46,0.01,Completed
GF0009890,2023-05-25,Abu Dhabi-Muscat,Oman,Express,11.4,0.0906,Completed
GF0027811,2024-02-29,Abu Dhabi-Muscat,Oman,Standard,0.88,0.01,Completed
GF0014781,2023-09-11,Dubai-Abu Dhabi,Abu Dhabi,Standard,1.36,0.0114,Completed
GF0022567,2023-12-22,Dubai-RAK,Northern Emirates,Standard,18.38,0.0243,Completed
GF0024881,2024-01-22,Abu Dhabi-Muscat,Oman,Express,2.38,0.0285,Completed
GF0018954,2023-11-09,Abu Dhabi-Muscat,Oman,Standard,17.62,0.0336,Completed
GF0032865,2024-06-06,Dubai-Sharjah,Sharjah,Same-Day,1.25,0.01,Completed
GF0028491,2024-03-12,Dubai-Riyadh,KSA,Standard,24.51,0.01,Completed
GF0019441,2023-11-14,Dubai-Abu Dhabi,Abu Dhabi,Standard,1.99,0.0739,Completed
GF0010701,2023-06-13,Sharjah-Fujairah,Northern Emirates,Standard,1.95,0.0603,Completed
GF0013107,2023-08-09,Dubai-RAK,Northern Emirates,Express,0.5,0.0407,Completed
GF0025020,2024-01-23,Abu Dhabi-Al Ain,Abu Dhabi,Standard,3.21,0.0257,Completed
GF0009020,2023-05-05,Dubai-RAK,Northern Emirates,Express,4.44,0.0205,Completed
GF0020474,2023-11-28,Sharjah-Fujairah,Northern Emirates,Express,3.72,0.01,Completed
GF0028601,2024-03-14,Dubai-Sharjah,Sharjah,Express,0.94,0.01,Completed
GF0004739,2023-02-22,Dubai-Abu Dhabi,Abu Dhabi,Standard,1.97,0.0626,Completed
GF0007178,2023-03-30,Dubai-Riyadh,KSA,Express,4.24,0.0113,Completed
GF0033202,2024-06-14,Dubai-Sharjah,Sharjah,Express,1.8,0.0417,Completed
GF0010544,2023-06-08,Dubai-Sharjah,Sharjah,Standard,10.0,0.0269,Completed
GF0023376,2024-01-03,Dubai-Sharjah,Sharjah,Standard,4.45,0.0552,Completed
GF0003226,2023-01-31,Dubai-Sharjah,Sharjah,Express,5.23,0.0246,Completed
GF0003534,2023-02-03,Dubai-Abu Dhabi,Abu Dhabi,Standard,4.52,0.0865,Completed
GF0014153,2023-08-30,Dubai-RAK,Northern Emirates,Standard,6.66,0.0189,Completed
GF0004336,2023-02-16,Sharjah-Fujairah,Northern Emirates,Standard,5.99,0.0236,Completed
GF0020667,2023-11-30,Dubai-Abu Dhabi,Abu Dhabi,Standard,1.83,0.0634,Completed
GF0020807,2023-12-01,Dubai-Abu Dhabi,Abu Dhabi,Express,5.17,0.01,Completed
